Filename,Turns,Stops_Y,Stops_Z,Wpeak,Wtrail,Wrange_val,Wduration,Wstandard deviation,Wmean,Speak,Sstd,Saccely_mean,Sidepeak_x,Sidestd_x,Sideaccely_x,Sidepeak_y,Sidestd_y,Sideaccely_y,Rating
000d35d3-41990aa4.mov,0.087528576,0.0325,35.4,1.00738,0.98598,0.0214,2,0.008765848,0.997186667,0.998042686,0.000636495,0.996713609,0.998042686,0.000636495,0.996713609,-0.022012131,0.001958947,0.033774517,3
000f157f-30b30f5e.mov,0.004345636,0.017475,35.875,-0.98452,-1.000923077,0.016403077,19,0.002764968,0.993517154,-0.992056699,0.000286702,0.993571785,-0.992056699,0.000286702,0.993571785,-0.013631633,0.001201051,0.021258988,4
000f157f-37797ff9.mov,0.882836595,0.095525,42.375,-0.96542,-1.01182,0.0464,1,0.0232,0.98862,-0.989797946,0.000804996,0.993012857,-0.989797946,0.000804996,0.993012857,-0.003822599,0.002148756,0.012750103,5
000f157f-dab3a407.mov,8.756713692,0.1234,31.825,-0.98044,-1.00376,0.02332,6,0.007536608,0.9902,-0.990343899,0.000464276,0.991710231,-0.990343899,0.000464276,0.991710231,0.053292579,0.005710033,0.038712926,4
000f8d37-d4c09a0f.mov,11.11267102,0.1089,34.075,-0.99354,-1.01018,0.01664,9,0.004965918,1.00091,-0.998233455,0.000487743,1.000361124,-0.998233455,0.000487743,1.000361124,0.083950633,0.009015628,0.054803061,4
0010bf16-9ee17cd9.mov,10.24919117,0.1009,36.45,-0.96472,-1.01206,0.04734,1,0.02367,0.98839,-0.983035935,0.00230187,0.988407624,-0.983035935,0.00230187,0.988407624,0.049116073,0.006495056,0.029023025,4
0010bf16-a457685b.mov,6.412415481,0.0647,44.075,-0.987285714,-0.996673469,0.009387755,36,0.001360625,0.989204148,-0.988871146,0,0.989493487,-0.988871146,0,0.989493487,0.04972,0.000490066,0.046894199,4
00131ea7-624f538d.mov,4.924823,0.17995,45.525,1.0125,0.95784,0.05466,15,0.014703937,0.98871,0,0,0,0.995373354,0.000860112,0.989078124,0.058853675,0.004164483,0.041897712,5
001c5339-13a07470.mov,0.156083584,0.08705,20,-0.973431373,-1.028733333,0.055301961,22,0.009095892,0.991238943,-0.988926276,0.002068567,0.995071437,-0.988926276,0.002068567,0.995071437,0.018811973,0.002941043,0.002207519,4
001c5339-9a6cdd3e.mov,5.942156474,0.1119,20.35,-0.971686275,-1.01772549,0.046039216,3,0.017353187,0.999926471,-0.989096804,0.001158688,0.991792998,-0.989096804,0.001158688,0.991792998,0.035131879,0.002822608,0.024752247,4
00207869-046fa443.mov,16.04886991,0.076775,21.275,-0.93076,-1.0411,0.11034,1,0.05517,0.98593,-0.991323061,0,0.995453861,-0.991323061,0,0.995453861,-0.025721291,0.008590849,0.064267476,4
00207869-902288d1.mov,0.872466207,0.0241,16.45,-0.97152,-1.01952,0.048,8,0.013518074,0.997935991,-0.995330678,0.000405203,0.995341312,-0.995330678,0.000405203,0.995341312,-0.042050323,0.007173504,0.066358827,4
00211b17-ad3e206b.mov,0.002218606,0.065525,48.225,1.00226,0.96338,0.03888,3,0.014587029,0.9862,0.98901374,0.001621383,0.985422726,0.98901374,0.001621383,0.985422726,-0.017676924,0.00098516,0.066864941,5
00232de3-19eca24a.mov,0.003315226,0.089325,38.675,1.02392,0.98556,0.03836,8,0.010409264,1.001175556,1.002158023,0.000477677,1.00073868,1.002158023,0.000477677,1.00073868,0.010643241,0.002973152,0.001301878,4
002685b6-856c17f7.mov,4.003789783,0.1231,13.925,1.05246,0.955153846,0.097306154,21,0.019352471,0.991001854,0.998024857,0.004114173,0.987972976,0.998024857,0.004114173,0.987972976,0.054267146,0.012065192,0.009153667,4
002827ad-8748e2fb.mov,0.000825438,-0.044025,49.05,-0.98816,-0.99826,0.0101,1,0.00505,0.99321,-0.991663292,0.000177764,0.992413157,-0.991663292,0.000177764,0.992413157,-0.061339243,9.41E-05,0.062365423,4
0028cbbf-92f30408.mov,1.685470305,0.091,48.35,-0.9341,-1.052666667,0.118566667,20,0.020571137,0.988505079,-0.974309854,0.002691796,0.985891022,-0.974309854,0.002691796,0.985891022,0.020345354,0.001627025,0.011218391,4
002b485a-3f6603f2.mov,17.99521896,0.2459,17.65,-0.960738095,-1.01562,0.054881905,24,0.013636126,0.986000805,-0.981251355,0.003941766,0.985404431,-0.981251355,0.003941766,0.985404431,0.000268217,0.001172946,0.008920065,4
002b485a-d1301c7c.mov,17.02418564,0.114725,19.075,-0.979565217,-1.03634,0.056774783,11,0.015744257,0.993984312,-0.990553135,0.000723314,0.993241871,-0.990553135,0.000723314,0.993241871,-0.011761668,0.000200704,0.025409233,4
002cd38e-c7defded.mov,0.016960812,0.1615,27.225,1.018,0.969142857,0.048857143,36,0.010967786,0.993246553,1.003411323,0.004367693,0.995010597,1.003411323,0.004367693,0.995010597,0.046994936,0,0.038162202,4
002cd38e-ebe888e1.mov,1.607652971,0.05985,38.225,1.014653061,0.968877551,0.04577551,10,0.012906491,0.993972171,0.998863445,0.002328325,0.991432001,0.998863445,0.002328325,0.991432001,-0.006137836,0.002599043,0.018453733,5
002d290d-01969e7d.mov,2.949770305,0.139025,11.35,-0.952078431,-1.03638,0.084301569,5,0.028904457,0.994959739,-0.970951118,0.004098373,0.986242414,-0.970951118,0.004098373,0.986242414,-0.008285966,0,0.027449852,4
002d290d-89d1aea8.mov,5.455453469,0.104825,13.175,-0.96,-1.02812,0.06812,10,0.019777646,0.979604884,-0.975314048,0.003709033,0.987514947,-0.975314048,0.003709033,0.987514947,-0.062937272,0.006253239,0.078780605,4
002d290d-89f4e5c0.mov,2.763174987,0.20135,20.95,-0.9649,-1.05236,0.08746,4,0.031578902,0.99882,-0.984810672,0.004681128,0.997300477,-0.984810672,0.004681128,0.997300477,0.040010666,0.011484348,0.011781239,3
002d290d-90f2bab2.mov,2.811543368,0.066525,10.6,-0.916,-1.0347,0.1187,20,0.021657691,0.986664164,-0.983283458,0.003557935,0.98547609,-0.983283458,0.003557935,0.98547609,-0.01793022,0,0.033362442,5
002d290d-f9108a13.mov,3.936935894,0.06075,6.375,-0.95752,-1.016960784,0.059440784,26,0.016363777,0.984336267,-0.978622447,0.002913756,0.98711373,-0.978622447,0.002913756,0.98711373,-0.022931356,0.00288504,0.041224784,4
002d290d-fa2a8964.mov,3.071261642,0.198525,13.7,-0.92996,-1.045705882,0.115745882,24,0.027118635,0.989653224,-0.970993199,0.002749283,0.988968177,-0.970993199,0.002749283,0.988968177,0.059277886,0.021888345,0.025104446,5
002e6895-442e6bc1.mov,1.876376161,0.106175,9.825,1.05404,0.96414,0.0899,7,0.030421007,0.9996175,1.004355493,0,0.991898641,1.004355493,0,0.991898641,0.27798,0.090741098,0.035596533,5
002f8552-0cdd55c6.mov,0.038012098,0.13955,43.55,-0.97612,-1.01032,0.0342,8,0.009155866,0.993385125,-0.993308871,0,0.996383932,-0.993308871,0,0.996383932,-0.000194984,0.003080469,0.006191287,5
0030f434-3eb4a3a9.mov,12.20741338,0.0403,34.05,-0.99064,-1.02166,0.03102,1,0.01551,1.00615,-1.001571081,0.000458212,1.002873429,-1.001571081,0.000458212,1.002873429,-0.024326158,0.002884627,0.032733246,5
00313a01-62156032.mov,1.776481753,0.130475,44.3,1.02358,0.9495,0.07408,9,0.019402124,0.99521,0.997491107,0.003639557,0.989912835,0.997491107,0.003639557,0.989912835,0.040004555,0.004002424,0.030578498,5
00313a01-725ddf3a.mov,2.246728583,0.2151,37.75,1.10028,0.94708,0.1532,8,0.044317795,0.993726667,1.007821552,0.003425637,0.991396211,1.007821552,0.003425637,0.991396211,0.185265579,0.044994629,0.064424803,5
00313a01-97de1f42.mov,0.247531429,0.196025,34.55,1.02436,0.96912,0.05524,8,0.016009083,0.999584444,1.010409222,0.003320828,0.997547622,1.010409222,0.003320828,0.997547622,0.043136331,0,0.034701716,5
00322f82-286ab9b3.mov,0.01455702,0.051225,34.425,-0.97978,-1.01906,0.03928,1,0.01964,0.99942,0,0,0,-0.996460612,0,0.997192269,-0.009342421,0.002310707,0.013200811,4
0032419c-7d20b300.mov,0.136846006,0.174775,33.45,1.032125,0.9763,0.055825,19,0.011414103,0.998797434,1.000235667,0,0.999228371,1.000235667,0,0.999228371,0.068630272,0.000189662,0.068715894,5
0033b19f-7f07efac.mov,3.042288921,0.0755,27.725,1.00332,0.98506,0.01826,2,0.007545,0.995013333,0.995899025,0.000541136,0.994756264,0.995899025,0.000541136,0.994756264,0.006030755,0.005351783,0.018051671,4
0034a363-24f318c4.mov,4.657849184,0.138925,41.125,1.01212,0.9837,0.02842,4,0.009172571,0.997356,1.002535612,0.000841885,0.999894166,1.002535612,0.000841885,0.999894166,0.107340251,0.00178874,0.101421758,4
0035afff-3295dbd6.mov,0.236775424,0.092475,24.375,-0.95866,-1.0211,0.06244,5,0.020876214,0.997516667,-0.994737217,0.000901535,0.996768702,-0.994737217,0.000901535,0.996768702,-0.007169155,0.006645221,0.039794687,5
0035afff-434368a1.mov,1.921663315,0.13815,30.675,-0.9779,-1.01916,0.04126,21,0.012239034,0.997963583,-0.995851353,0.000626014,0.997777259,-0.995851353,0.000626014,0.997777259,0.06553987,0.022273799,0.007591503,5
0035afff-47378fa3.mov,0.005072903,0.032425,37.3,0,0,0,0,0,0,0,0,0,-0.98602,0.005086037,0.996930486,0.00145384,0.000216987,0.005070562,4
0035afff-572b2d4e.mov,0.025710402,0.008925,30.825,-0.99166,-1.004,0.01234,4,0.004561028,0.999272,-0.996997284,0.000290849,0.998485422,-0.996997284,0.000290849,0.998485422,-0.005186597,0,0.011151374,4
0035afff-bd191d6a.mov,2.679394233,0.064,17.625,-0.981254902,-1.0156,0.034345098,6,0.010068803,0.997696415,-0.996381349,0.000527138,0.998317641,-0.996381349,0.000527138,0.998317641,-0.013429843,0.002521049,0.028544864,4
00378858-c5f802ac.mov,3.175684849,0.203575,29.575,1.02348,0.97346,0.05002,1,0.02501,0.99847,1.005023117,0.000959596,1.003332432,1.005023117,0.000959596,1.003332432,-0.010448491,0.002729554,0.023068591,5
00390995-49d9a01e.mov,6.525518973,0.131775,38.5,-0.95518,-1.019235294,0.064055294,9,0.021084546,0.993545529,-0.984697869,0.003270068,0.995806891,-0.984697869,0.003270068,0.995806891,0.096277797,0.00283105,0.065995802,4
003c4a61-52588960.mov,6.928128404,0.0581,48.4,-0.94356,-1.00366,0.0601,7,0.021057106,0.9826675,-0.977078482,0.003139191,0.986715662,-0.977078482,0.003139191,0.986715662,0.005066767,0.001032292,0.00636819,5
003e23ee-07d32feb.mov,9.954933597,0.129875,40.45,1.0473,0.9991,0.0482,15,0.010871445,1.014429191,1.016692968,0.001459571,1.015047775,1.016692968,0.001459571,1.015047775,0.051022789,0.006284859,0.027621191,4
004071a4-049b7b85.mov,6.664262356,0.0907,27.875,1.02256,0.98484,0.03772,7,0.011380169,1.0071375,1.008144457,0.001216376,1.004917289,1.008144457,0.001216376,1.004917289,0.041253909,0.005165876,0.008073497,4
004071a4-ef4bf541.mov,5.319553475,0.04095,28.15,1.00958,0.988102041,0.021477959,5,0.007239203,0.99757034,0,0,0,1.005428992,0.000183465,1.002154312,0.024464028,0.001103376,0.003035619,4
00417c23-220bbc98.mov,3.025777888,0.018525,5.625,-0.96626,-1.0422,0.07594,18,0.015884384,0.988877916,-0.985313414,0.00024614,0.988712677,-0.985313414,0.00024614,0.988712677,-0.063031128,0.002190274,0.070353988,4
00423717-0ef3c8dc.mov,0.249030422,0.092425,38.95,-0.98312766,-1.02008,0.03695234,10,0.010912322,0.998253275,-0.996202329,0.000658138,0.997384748,-0.996202329,0.000658138,0.997384748,0.001923673,0.001514322,0.003884855,4
00423717-eba4da41.mov,3.183164327,0.095775,37.05,-0.96636,-1.01234,0.04598,17,0.010334042,0.997736689,-0.99406487,0.001024486,0.997609625,-0.99406487,0.001024486,0.997609625,0.028648156,0.004795883,0.002030299,4
00423ac5-1fa7ff43.mov,0.125330741,0.0758,35.6,1.00846,0.97902,0.02944,12,0.008905496,0.992143328,0.995467278,0.001739895,0.993366353,0.995467278,0.001739895,0.993366353,-0.001278337,0.005058908,0.02232892,4
0045e757-02530231.mov,0.022735678,0.10595,41.125,1.0222,0.97738,0.04482,1,0.02241,0.99979,1.004333296,0.000375782,1.002909003,1.004333296,0.000375782,1.002909003,-0.014424849,0.00129684,0.022473169,5
0045e757-088840fc.mov,0.037204499,0.049675,38.65,1.02294,0.946571429,0.076368571,16,0.015482761,1.002370338,1.005473239,0.00100968,1.000261995,1.005473239,0.00100968,1.000261995,-0.016715236,0.00415165,0.037277069,3
0045e757-66a334b5.mov,0.666755844,0.051575,38.975,1.02008,0.98932,0.03076,11,0.008102035,1.003611667,1.005619861,0,1.003590558,1.005619861,0,1.003590558,-0.009424223,0.008752732,0.021247795,4
004855fc-ff3946ad.mov,2.610781208,0.1471,9.475,-0.941,-0.99944,0.05844,39,0.010013551,0.986155857,-0.955618838,0.00819895,0.984764944,-0.955618838,0.00819895,0.984764944,0.08002269,0.007777988,0.043924754,4
00495359-1d04dd8a.mov,0,0.0541,4.3,1.0072,0.98254,0.02466,4,0.008547892,0.992024,0.993231633,0.001193624,0.997487025,0.993231633,0.001193624,0.997487025,-0.008633543,0.003255626,0.021921577,3
00495359-27ce9c7e.mov,0.000304217,0.08665,2.45,1.0211,0.984941177,0.036158824,1,0.018079412,1.003020588,1.000486209,0.001168353,0.998017557,1.000486209,0.001168353,0.998017557,0.01446016,0.000113978,0.014371109,4
004ea016-0b1932a7.mov,0.867304092,0.1139,23.35,1.09522,0.978081633,0.117138367,1,0.058569184,1.036650816,1.019813431,0.003354443,1.011562079,1.019813431,0.003354443,1.011562079,-0.011585988,0.000352622,0.021828364,4
00516b75-7ac91661.mov,1.183454609,0.190025,43.2,-0.910571429,-1.0151,0.104528571,16,0.028089761,0.981286808,-0.981244472,0,0.987636668,-0.981244472,0,0.987636668,0.055468221,0.022342429,0.000996486,3
0051e391-d32a618e.mov,7.109449921,0.2479375,29.825,-0.95562,-1.02622,0.0706,9,0.019129186,0.989906,-0.986346412,0.001075814,0.988036515,-0.986346412,0.001075814,0.988036515,0.119619429,0.011159255,0.046216434,3
0052b279-87c692aa.mov,0.110673764,0.035725,48.25,-0.956980392,-0.997137255,0.040156863,11,0.011585192,0.983539216,-0.978619048,0.003081301,0.987117624,-0.978619048,0.003081301,0.987117624,-0.039802193,0.001307581,0.04735205,4
005645a1-dbe34c9d.mov,5.802606773,0.08155,2.85,1.0092,0.9935,0.0157,7,0.005111233,1.00289,1.007418559,0,1.005448437,1.007418559,0,1.005448437,0.042595996,0.000852161,0.039621426,4
00589f25-4cf2b9e0.mov,14.78763617,0.094375,31.925,-0.98324,-1.012090909,0.028850909,13,0.006746969,0.995687922,-0.994501163,0.000426259,0.996240563,-0.994501163,0.000426259,0.996240563,0.053261162,0.004202263,0.043221846,4
0059f17f-f0882eef.mov,7.139241897,0.1649,36.475,-0.9715,-1.03836,0.06686,36,0.013011166,0.997042162,-0.992956173,0,0.996586486,-0.992956173,0,0.996586486,0.070988972,0.012690353,0.013747544,4
005c4fd3-cb4d6287.mov,8.688066703,0.035575,44,-0.94644,-1.03178,0.08534,17,0.021459473,0.992886825,-0.984709554,0.002557185,0.993223081,-0.984709554,0.002557185,0.993223081,0.01935155,0.003806499,0.002000179,4
005cdef0-180a776c.mov,1.188899732,0.156075,31.975,-0.97024,-1.0319,0.06166,32,0.012829001,1.00548235,-0.998379479,0.002756292,1.002881751,-0.998379479,0.002756292,1.002881751,0.079591129,0.009813426,0.028973807,4
005ee183-0100ac18.mov,15.07960886,0.291575,24.6,1.03624,0.96686,0.06938,9,0.019039105,1.00534,1.014461471,0.006344244,1.00101541,1.014461471,0.006344244,1.00101541,0.078364038,0.0146371,0.030170315,4
005ee183-bcfab89f.mov,2.125263092,0.1393,22.85,1.03858,0.9778,0.06078,3,0.022777219,1.00215,1.000256776,0.000675841,0.998599836,1.000256776,0.000675841,0.998599836,0.022462637,0,0.007469026,4
005fd7be-d8e0dc65.mov,6.08481605,0.052225,40.15,-0.975148936,-1.00608,0.030931064,13,0.01059926,0.992716382,0,0,0,-0.987698834,0.00196063,0.99192309,0.053065812,0.012848142,0.001511816,4
005ff190-5be4cdfa.mov,0.854114601,0.197275,37.55,-0.95744,-1.01358,0.05614,1,0.02807,0.98551,-0.987563183,0.002076061,0.991632576,-0.987563183,0.002076061,0.991632576,0.038265467,0.005294495,0.016413803,3
00618cec-3bc5573e.mov,2.601494961,0.18245,14.975,1.02704,0.97726,0.04978,8,0.01393734,1.003273856,1.005867939,0.002640777,1.00048155,1.005867939,0.002640777,1.00048155,0.078162273,0.003415707,0.065272429,4
00618cec-a7f7e470.mov,5.370902569,0.140675,12.35,1.0254,0.9704,0.055,22,0.014584357,0.998073504,1.009283966,0.002705946,0.998393807,1.009283966,0.002705946,0.998393807,0.097395888,0,0.070368953,4
00618cec-ef92ac05.mov,5.344371322,0.1773,8.85,1.01766,0.945033333,0.072626667,20,0.014950641,0.989516209,1.004064615,0.002807706,0.990270587,1.004064615,0.002807706,0.990270587,0.105715685,0.012861106,0.063147985,4
0062298d-2d787502.mov,7.187793069,0.163125,33.25,-0.97602,-1.04094,0.06492,16,0.015944122,1.002783529,-0.993908759,0.002538616,1.001652298,-0.993908759,0.002538616,1.001652298,0.034297775,0.005721461,0.018528555,4
0062298d-cbbec2cd.mov,4.723386769,0.11795,37.225,-0.96292,-1.00856,0.04564,7,0.015622007,0.9911525,-0.983059909,0.002452318,0.99337755,-0.983059909,0.002452318,0.99337755,0.060029613,0.00414649,0.046574188,4
0062298d-e6abad2f.mov,6.695208184,0.16625,37.025,-0.95882,-1.0295,0.07068,2,0.028991449,0.992173333,-0.990924089,0.003004817,0.998229073,-0.990924089,0.003004817,0.998229073,0.080305549,0.010035166,0.021039801,4
0062298d-fd69d0ec.mov,2.48628011,0.24635,33.225,-0.95146,-1.03706,0.0856,1,0.0428,0.99426,-0.982279335,0.002210115,0.991114084,-0.982279335,0.002210115,0.991114084,0.141137668,0.02953579,0.057872997,4
0062e803-38c0a33a.mov,6.055178805,0.08655,41.45,-0.97708,-1.017666667,0.040586667,4,0.013788371,0.997973333,-0.987002314,0.00247324,0.995358919,-0.987002314,0.00247324,0.995358919,0.045457894,0.006320906,0.030024826,4
0062f18d-f8cd3a65.mov,15.90875878,0.106925,41.925,-0.9719,-1.01018,0.03828,15,0.008420224,0.99609875,-0.991887996,0.001753658,0.996155489,-0.991887996,0.001753658,0.996155489,0.022587271,0,0.006273485,3
006382a3-4a442001.mov,1.215509423,0.1069,38.5,-0.95884,-1.014692308,0.055852308,15,0.01222933,0.995449978,-0.989826412,0.001458861,0.995263779,-0.989826412,0.001458861,0.995263779,0.076576629,0.014905507,0.00494649,4
